image number,unblurry,exog/end,batch number,
13,0,exog,1,
20,0,exog,1,
24,1,exog,1,
67,1,exog,1,
69,1,exog,1,
80,1,exog,1,
138,1,exog,1,
159,1,exog,1,
164,1,exog,1,
183,1,exog,1,
175,1,endog,1,
69,1,endog,1,
27,1,endog,1,
202,1,endog,1,
140,1,endog,1,
182,1,endog,2,
191,1,endog,2,
128,1,endog,2,
118,1,endog,2,
124,1,endog,2,
11,0,endog,3,
12,0,endog,3,
184,1,endog,3,
49,1,endog,3,
25,1,endog,3,
67,1,endog,4,
206,1,endog,4,
83,1,endog,4,
181,1,endog,4,
35,1,endog,4,
71,1,endog,5,
13,0,endog,5,
159,1,endog,5,
164,1,endog,5,
174,1,endog,5,
22,1,endog,6,
24,1,endog,6,
119,1,endog,6,
50,1,endog,6,
160,1,endog,6,
80,1,endog,7,
14,0,endog,7,
183,1,endog,7,
15,0,endog,7,
39,1,endog,7,
189,1,endog,8,
16,0,endog,8,
143,1,endog,8,
152,1,endog,8,
78,1,endog,8,
17,0,endog,9,
18,0,endog,9,
70,1,endog,9,
204,1,endog,9,
138,1,endog,9,
19,0,endog,10,
141,1,endog,10,
190,1,endog,10,
42,1,endog,10,
20,0,endog,10,